action_type,creature_id,samples,multiplier,q10,q50,q90
MELEE_ATTACK,403,13,1.010106858,0.515655652,0.806647188,2.188327298
MELEE_ATTACK,404,16,0.995565254,0.619216094,0.814384956,1.557451757
MELEE_ATTACK,405,8,1.105773543,0.562115816,0.962005106,3.477898589
MELEE_ATTACK,406,17,1.213321652,0.669892598,1.267458828,2.105873220
MELEE_ATTACK,413,20,1.019442826,0.504935044,0.888922760,1.304633825
MELEE_ATTACK,414,34,0.901587786,0.413660029,0.773790669,1.163494161
MELEE_ATTACK,415,3,1.123027230,0.584754905,0.858843537,0.895627897
MELEE_ATTACK,416,4,1.092921411,0.538263664,0.780234221,1.361382104
MELEE_ATTACK,417,62,0.923181787,0.504514845,0.855457979,1.258312670
MELEE_ATTACK,418,62,1.186107528,0.510964328,1.191637529,2.869448744
MELEE_ATTACK,419,24,1.040906037,0.595345276,0.944864862,1.439733857
MELEE_ATTACK,420,23,0.976370111,0.421896675,0.834782609,1.102632037
MELEE_ATTACK,421,8,1.076308656,0.536242957,0.875234867,1.177700799
MELEE_ATTACK,422,16,0.886035860,0.373349896,0.626524807,0.864098760
MELEE_ATTACK,423,64,0.769076697,0.490411301,0.674727453,1.102175685
MELEE_ATTACK,424,57,0.785272323,0.414985990,0.682926829,1.140507259
MELEE_ATTACK,433,52,1.617441334,0.718821525,1.832510802,2.264814905
MELEE_ATTACK,434,34,1.033263351,0.603353011,0.960841588,1.696564549
MELEE_ATTACK,435,10,1.180990794,0.656140012,1.205080593,2.786005125
MELEE_ATTACK,436,54,1.583810067,0.050000000,1.772283681,4.269431524
MELEE_ATTACK,440,55,0.801075381,0.336363636,0.698181818,1.162180452
MELEE_ATTACK,441,69,0.976484500,0.505859383,0.926829268,1.437058037
MELEE_ATTACK,442,41,0.893150245,0.235119048,0.783216783,1.545405931
MELEE_ATTACK,443,32,0.923627416,0.550946303,0.797110902,1.531036368
MELEE_ATTACK,444,24,1.102924242,0.455607732,1.050628030,1.648520635
MELEE_ATTACK,445,30,0.961332631,0.407072336,0.843752344,1.307930003
MELEE_ATTACK,446,22,0.868078325,0.306184174,0.662233131,1.097124892
MELEE_ATTACK,447,9,0.980013742,0.333933958,0.662131519,1.583821398
MELEE_ATTACK,448,15,0.966774755,0.227523567,0.750372208,1.642651201
MELEE_ATTACK,449,21,1.100538753,0.246428571,1.038961039,2.122448980
MELEE_ATTACK,493,43,0.895758232,0.444324639,0.791389680,1.651639954
MELEE_ATTACK,494,18,0.942357651,0.601632169,0.741591414,1.041364565
MELEE_ATTACK,495,77,0.809515831,0.329491436,0.735802659,1.143605793
MELEE_ATTACK,496,49,0.831854265,0.402583623,0.723960396,1.243094720
MELEE_ATTACK,512,204,1.235879259,0.883008456,1.242625304,2.490064390
MELEE_ATTACK,513,150,1.358925187,0.707828545,1.386458022,2.783260965
MELEE_ATTACK,514,180,1.202474241,0.714952501,1.206237705,2.337039428
MELEE_ATTACK,515,168,1.168514176,0.620437818,1.168441232,2.202620287
MELEE_ATTACK,520,6,1.126793679,0.874256827,0.996445009,1.063079224
MELEE_ATTACK,521,2,1.061217419,0.397242824,0.402931155,0.408700940
MELEE_ATTACK,522,6,1.044836516,0.376793489,0.718351624,1.246422567
MELEE_ATTACK,534,65,1.517810903,0.779887842,1.644736842,3.099625501
MELEE_ATTACK,535,143,1.514949256,0.955566475,1.570859843,2.966358025
MELEE_ATTACK,536,223,1.917255039,1.144013103,2.004223228,3.902197272
MELEE_ATTACK,537,21,1.493645354,1.472431078,1.886111111,3.883314753
MELEE_ATTACK,538,175,1.690812417,1.057690266,1.763631521,3.687643187
