action_type,creature_id,samples,multiplier,q10,q50,q90
MELEE_ATTACK,249,52,1.106295647,0.942082215,1.074384640,2.101737315
MELEE_ATTACK,253,1,1.151488483,0.559801489,0.559801489,0.559801489
MELEE_ATTACK,254,1,1.213821640,1.693693694,1.693693694,1.693693694
MELEE_ATTACK,255,266,1.367235885,0.847094897,1.381254536,2.998985204
MELEE_ATTACK,256,17,0.979840851,0.681016058,0.776703297,1.032595895
MELEE_ATTACK,257,1,1.215005898,1.728735632,1.728735632,1.728735632
MELEE_ATTACK,258,51,1.087521506,0.821791320,1.048484848,1.614035088
MELEE_ATTACK,259,8,1.071266705,0.560733408,0.817220844,0.999977357
MELEE_ATTACK,260,47,1.412199881,0.635832919,1.516873931,2.597557241
MELEE_ATTACK,261,5,1.416907045,1.376541433,2.812051650,2.929088246
MELEE_ATTACK,268,3,1.151638782,0.788516171,0.906328530,0.935444056
MELEE_ATTACK,269,15,1.154624612,0.755454699,1.104419476,1.325278515
MELEE_ATTACK,270,76,1.477176836,0.786895281,1.562347547,3.288065743
MELEE_ATTACK,272,17,0.964216519,0.393308985,0.750000000,0.967945093
MELEE_ATTACK,273,14,0.940485606,0.353673885,0.668954892,1.086013378
MELEE_ATTACK,280,2,1.129205412,0.558024122,0.647580402,0.751509408
MELEE_ATTACK,281,3,1.134650065,0.496715657,0.808727822,1.360362122
MELEE_ATTACK,282,1,1.185930241,1.039500000,1.039500000,1.039500000
MELEE_ATTACK,285,5,1.158767978,0.864007682,1.028724115,1.202501735
MELEE_ATTACK,287,20,0.907755486,0.355174043,0.690266646,1.132577338
MELEE_ATTACK,288,2,1.116584416,0.392894070,0.572266633,0.833530266
MELEE_ATTACK,289,16,1.393832858,0.877228962,1.691698546,2.689648098
MELEE_ATTACK,290,19,1.038680288,0.752221395,0.897143478,1.186062386
MELEE_ATTACK,291,11,1.137505771,0.755439466,1.041912633,1.328211694
MELEE_ATTACK,292,13,1.104665438,0.506905228,0.980392157,2.002749615
MELEE_ATTACK,293,8,1.026276737,0.611975097,0.703272291,1.215537804
MELEE_ATTACK,300,420,0.949971697,0.595373921,0.939693819,1.357602146
MELEE_ATTACK,301,91,1.754094873,1.000746826,1.908909905,3.938211382
MELEE_ATTACK,309,10,1.370969814,0.812452607,1.808181100,2.855021731
MELEE_ATTACK,310,1,1.163371380,0.694493783,0.694493783,0.694493783
MELEE_ATTACK,311,63,1.304072018,0.893137453,1.341176471,2.616203027
MELEE_ATTACK,314,7,1.235647530,1.133263689,1.363567649,3.543365935
MELEE_ATTACK,315,135,1.432069927,1.002438824,1.471208924,2.988424823
MELEE_ATTACK,316,82,0.502731740,0.262530215,0.407127382,1.672693878
MELEE_ATTACK,317,60,1.441225088,1.154521668,1.534624494,2.861419639
MELEE_ATTACK,318,117,1.570773170,0.977834239,1.646221532,3.089826994
